Î³,final_I,final_approx
0.005,0.17887822132390097,358.0
0.005,0.12885295603840324,258.0
0.005,0.18847902981303688,377.0
0.005,0.24557857503789793,491.0
0.005,0.14754926730672058,295.0
0.005,0.2112177867609904,422.0
0.005,0.17786760990399192,356.0
0.005,0.15260232440626578,305.0
0.005,0.20313289540171803,406.0
0.005,0.1935320869125821,387.0
0.01,0.29,580.0
0.01,0.2795,559.0
0.01,0.2325,465.0
0.01,0.272,544.0
0.01,0.2505,501.0
0.01,0.233,466.0
0.01,0.2595,519.0
0.01,0.173,346.0
0.01,0.413,826.0
0.01,0.2125,425.0
0.015,0.34882533197139937,698.0
0.015,0.2568947906026558,514.0
0.015,0.32277834525025534,646.0
0.015,0.2579162410623085,516.0
0.015,0.3202247191011236,640.0
0.015,0.34167517875383047,683.0
0.015,0.27170582226762,543.0
0.015,0.26251276813074564,525.0
0.015,0.14453524004085802,289.0
0.015,0.3375893769152196,675.0
0.02,0.26478019201616976,530.0
0.02,0.3415866599292572,683.0
0.02,0.4355735219807984,871.0
0.02,0.2385042950985346,477.0
0.02,0.23749368367862556,475.0
0.02,0.23041940373926226,461.0
0.02,0.2981303688731683,596.0
0.02,0.21677614957049016,434.0
0.02,0.22738756947953512,455.0
0.02,0.2693279434057605,539.0
0.025,0.3536102868447082,707.0
0.025,0.21909000989119684,438.0
0.025,0.2952522255192878,591.0
0.025,0.2868447082096934,574.0
0.025,0.27398615232443124,548.0
0.025,0.39218595450049454,784.0
0.025,0.3249258160237389,650.0
0.025,0.4307616221562809,862.0
0.025,0.3486646884272997,697.0
0.025,0.5113748763600395,1023.0
0.03,0.32993370729219784,660.0
0.03,0.4130545639979602,826.0
0.03,0.37327893931667516,747.0
0.03,0.3554309026007139,711.0
0.03,0.4436511983681795,887.0
0.03,0.38704742478327386,774.0
0.03,0.17083120856705764,342.0
0.03,0.4329423763386028,866.0
0.03,0.27944926058133607,559.0
0.03,0.20040795512493625,401.0
